Timestamp,Gender,Where are you from?,Parenting Label,Question1,Question2,Question3,Question4,Label
12/30/2021 0:04:10,Male,Dhaka,,Yes I feel worthless. I really feel sad and depressed about it.,No. I didn't lose interest in it. I like playing games. But they still think it's a child's play.,Sometimes yes. But not all the time. I just find it difficult when my parents don't support it.,Sometimes I feel bothered about their activities. Sometimes not. So it's a mixed feelings.,1
12/30/2021 1:27:10,Male,Dhaka,,everyday,noooo,yeeees,dead parents here,1
12/30/2021 1:28:48,Male,Chattogram,,Yes. Wish I had listened to my father and did not just abruptly go after private university. ,No,Yes,Hopeless,1
12/30/2021 1:40:18,Female,Rangpur,,Have experienced it so many times but cannot find definite word to describe it,They try to understand my point of view,I find that very difficult ,I feel hopeless several times for my parents,1
12/30/2021 1:44:35,Female,Rangpur,,Sometimes I do feel. They wanted me to become a doctor and sometimes I regret for it. ,"No, I don’t. ",My parents have been always so supportive. ,I always feel hopeful about my parent's activities. They encourage me lot. ,0
12/30/2021 1:46:35,Female,Dhaka,,"Not really, I have a great bonding with my parents and they don’t let me feel worthless. ","I love travelling, but due to my parent’s strict behaviour, I can neither travel with my friends nor alone. They are not supportive at all even when it’s anything related to hangout with friends. They prioritise the safety issue of our country over my happiness. That’s why I avoid hanging out with friends more often, even I have lost a significant amount of childhood friends because of this reason.","I have been called for a lot of job opportunities, business initiatives by people around me. But due to parental control over my life, I have lost a lot of golden opportunities so far. ",Sometimes it makes me feel hopeless as I believe that their activities is somehow reflecting on my personality in a wrong way.,0
12/30/2021 1:52:55,Female,Dhaka,,"I feel worthless when  unfortunately I did not get chance in medical college .. Actually it was not totally my parents desire. It was my desire. So when I can not made that true. I felt worthless.. but my mom was there for me ..she always told me ""I know if you work hard you can do it."" But I felt my dad was kinda disappointed.",Nope. Because I will do whatever I want to do ..what makes me feel good. ,Sometimes I feel but not every time. ,Most of the time hopeless ..A very less time Hopeful.,1
12/30/2021 2:07:52,Female,Dhaka,,"I didn't sit for any public university entrance exam even though my grades were higher than the exam criteria. It was always my mother's dream for me to study at BUET but I believed that the stress from preparing for these exams wasn't worth it and also that the syllabus was unfair. Instead, I applied abroad and got into many prestigious universities but due to Corona, I didn't get Visa and couldn't go later. Afterwards, I chose to stay at BRAC for undergrad. Among these series of events, I did what I wanted to but failed however my parents, especially my mother was understanding and encouraging(p.s. still is). She was sad, which was clearly visible, but she didn't let that linger for a long time. Rather, considered my point of view and supported me.","I have been involved in uncountable number of ECAs throughout my school. My parents want me to study and learn new things. The case was always as, I used to sign-up for competitions and then let my parents know, to which they reacted in a positive manner. ",Didn't quite get the question,"I can see that they are trying to provide me a better future by hook or by crook, so can't complain. It makes me hopeful that even at this age of their lives, they are trying for me.",0
12/30/2021 2:26:38,Male,Dhaka,,"They want me to study in public school, college and University.  They never say something after I started private. That was their untold want.",No. My parents never forced me to anything. ,No. Cause they never forced me to do anything.,Whatever they are deciding I am totally ok with it.,0
12/30/2021 2:30:01,Male,Dhaka,,My parents wanted me to be a doctor. I'm becoming an Engineer. Totally different from their desire.,My parents don't take it seriously first. Then after a lot of begging they give permission. But by that time I lost interest. ,Maybe. I find it dificult sometimes.,"Hopeful i guess. Whatever they do, they do it for my betterment ",1
