Timestamp,What is your Gender?,Where are you from?,Question1,Question2,Question3,Question4,Self Esteem Label
12/30/2021 0:04,Male,Dhaka,No. They inspired me to achieve good qualities. ,I am not sure. But I think they would help me to achieve this respect.,Sometimes I do feel like I am not able to do things other's. Because I grew up as an introvert.,I am not sure. My parent's expectation and my goal are not same. So I am not understanding if I am in the right direction.,1
12/30/2021 1:27,Male,Dhaka,noooooo. It's my failure,they were considerate....literally,nooooooooo,noooo.... not at alll,1
12/30/2021 1:28,Male,Chattogram,No,Yes,No,Maybe not,1
12/30/2021 1:40,Female,Rangpur,"No, I am responsible. ",They give me as much respect as they can.,"Yes, I am ",May be I am.,0
12/30/2021 1:44,Female,Rangpur,"No, My parent's Criticism helps to change my attitude towards life. ",They are more considerate than me. ,"No, everyone is different and they are good their own way. My parent's don't compare with anyone at all. ","Yes, I feel confident and It’s not possible without my parent's support. ",0
12/30/2021 1:46,Female,Dhaka,"No, they don’t criticise in a wrong way. They just worry too much about me getting in trouble.","I could give me more respect if I could be able to explore more, a little bit freedome could open a lot more doors for me. ","Definitely no. As I have been saying, I can’t travel, can’t work outside, even I couldn’t continue with the film club as I had to stay there after evening once or twice a week…","I am working on myself for becoming the person I aspire to be and I believe I will definitely achieve my goals. My parents support me always, they welcome my decisions, but just a little freedom could help me being satisfied with whatever I am today.",1
12/30/2021 1:52,Female,Dhaka,Kind of .. Because I am always a healthy person. So my mom sometimes nagging me to loose some weight.. I think this made me feel uncomfortable and more introvert.,Well I guess yes if it is about my health issue ..,"Yes I can. Because My parents always told me ""Atlest you should give a try and give your best .""",Yes . First when I did not get the chance I was do stressed out but now I have no regret . The subject I choose is absolutely amusing. I am interested to learn more about my subject.And my parents always support me about my study .. specially my mom. ,0
12/30/2021 2:07,Female,Dhaka,"I don't think personality development goes hand in hand with criticism. The phrase ""parents' criticising' doesn't always convey a negative vibe. It could be constructive criticism as well. So, I don't think my parents criticism has anything to do with me, lacking good qualities. In many cases, good qualities are inherent.","Well, it was my parents, who taught me the value of self-respect","Yes, the amount of freedom that should be and can be given to a 21 year old, has been provided in my case. At times, safety comes as the first priority so then my parents may hesitate to permit me to do certain things but that is completely understandable, by being in this unsafe country.","My parents from time to time, talk about life with me. This provides me with situations which show what to do and what not to do in life. So given that I don't get distracted by a breakup or go under the influence of drug addicts, I am confident that I can become a kind person when I grow up",0
12/30/2021 2:26,Male,Dhaka,No. They Don't criticize me.,Yes. Cause day by day I am improving in every sector.,Exactly not sure.,Yes. I am on the way to the goal. Just need the finishing kick. ,0
12/30/2021 2:30,Male,Dhaka,Yes. Mostly It's my lack of good qualities. But sometimes It's out of anger. ,Maybe,No I can't. I can't study 10 hours straight like my parents want. I can't lead my life routinewise like they want. ,Yes I do. I'll be a better dad.,1
